Sort,Size,Time_microsecs
BubbleSort,10,1
BubbleSort,100,37
BubbleSort,1000,2773
BubbleSort,5000,66462
BubbleSort,10000,271315
BubbleSort,25000,1771106
BubbleSort,50000,7226552
BubbleSort,100000,29122421
InsertionSort,10,0
InsertionSort,100,17
InsertionSort,1000,896
InsertionSort,5000,21370
InsertionSort,10000,82440
InsertionSort,25000,507451
InsertionSort,50000,2032030
InsertionSort,100000,8127891
MergeSort,10,3
MergeSort,100,28
MergeSort,1000,325
MergeSort,5000,1855
MergeSort,10000,3956
MergeSort,25000,10598
MergeSort,50000,21619
MergeSort,100000,45356
IterativeMergeSort,10,1
IterativeMergeSort,100,8
IterativeMergeSort,1000,108
IterativeMergeSort,5000,612
IterativeMergeSort,10000,1382
IterativeMergeSort,25000,3622
IterativeMergeSort,50000,7590
IterativeMergeSort,100000,15669
QuickSort,10,0
QuickSort,100,5
QuickSort,1000,63
QuickSort,5000,372
QuickSort,10000,781
QuickSort,25000,2172
QuickSort,50000,4506
QuickSort,100000,9484
ShellSort,10,1
ShellSort,100,7
ShellSort,1000,117
ShellSort,5000,820
ShellSort,10000,1791
ShellSort,25000,5191
ShellSort,50000,11704
ShellSort,100000,24825
